SerialNo,DeviceName,Position_Date,Lat,Lon,Heading,Speed,Location,Description,Elevation
"8881004443","8881004443","5/7/2021 11:32:24 AM","37.7756091167529","-122.417449150483","0 (N)","0","[Nema]","Position","308"
"8881004443","8881004443","5/7/2021 11:32:37 AM","37.775658249855","-122.417410632968","12 (N)","3","[Nema]","Position","279"
"8881004443","8881004443","5/7/2021 11:32:46 AM","37.7756833831469","-122.417169266939","119 (SE)","0","[Nema]","Position","200"
"8881004443","8881004443","5/7/2021 11:32:51 AM","37.7756540666024","-122.417091799776","192 (S)","1","[Nema]","Position","194"
"8881004443","8881004443","5/7/2021 11:33:26 AM","37.7748467668891","-122.415740066643","135 (SE)","29","914 Minna St San Francisco CA","Position","167"
"8881004443","8881004443","5/7/2021 11:33:26 AM","37.7748467668891","-122.415740066643","135 (SE)","29","914 Minna St San Francisco CA","8881004443 exited, ""Nema"" @ May  7 2021 11:33AM","167"
"8881004443","8881004443","5/7/2021 11:33:36 AM","37.7740077664455","-122.414380783339","134 (SE)","30","1403 Howard St San Francisco CA","Position","112"
"8881004443","8881004443","5/7/2021 11:33:46 AM","37.7730667168895","-122.413108650098","134 (SE)","27","281 10th St San Francisco CA","Position","79"
"8881004443","8881004443","5/7/2021 11:33:56 AM","37.7723550334573","-122.412216216822","137 (SE)","31","345 10th St San Francisco CA","Position","59"
"8881004443","8881004443","5/7/2021 11:34:21 AM","37.7703948167463","-122.40948386689","88 (E)","17","1183 Bryant St San Francisco CA","Position","23"
"8881004443","8881004443","5/7/2021 11:34:30 AM","37.7710442165534","-122.408888599773","36 (NE)","4","1108 Bryant St San Francisco CA","Position","39"
"8881004443","8881004443","5/7/2021 11:34:40 AM","37.7719273497661","-122.407785000404","48 (NE)","42","1069 Bryant St San Francisco CA","Position","36"
"8881004443","8881004443","5/7/2021 11:34:50 AM","37.7729958832264","-122.406482900182","42 (NE)","30","984 Bryant St San Francisco CA","Position","43"
"8881004443","8881004443","5/7/2021 11:34:59 AM","37.7745155334473","-122.406322583556","25 (NE)","34","James Lick Skyway San Francisco CA","Position","39"
"8881004443","8881004443","5/7/2021 11:35:09 AM","37.7754029164712","-122.405529150367","39 (NE)","22","James Lick Skyway San Francisco CA","Position","43"
"8881004443","8881004443","5/7/2021 11:35:19 AM","37.7759852170944","-122.404858032862","43 (NE)","18","I-80 San Francisco CA","Position","52"
"8881004443","8881004443","5/7/2021 11:35:37 AM","37.776818399628","-122.403578750292","53 (NE)","12","430 6th St San Francisco CA","Position","20"
"8881004443","8881004443","5/7/2021 11:35:46 AM","37.7772147834301","-122.402839133143","55 (NE)","21","39 Morris St San Francisco CA","Position","10"
"8881004443","8881004443","5/7/2021 11:35:56 AM","37.7777693331242","-122.401800700029","58 (NE)","24","[37.7777693331242-122.401800700029]","Position","7"
"8881004443","8881004443","5/7/2021 11:36:06 AM","37.7784077833096","-122.40068204999","51 (NE)","27","463 5th St San Francisco CA","Position","3"
"8881004443","8881004443","5/7/2021 11:36:16 AM","37.7792414496342","-122.399607133338","43 (NE)","29","James Lick Skwy San Francisco CA","Position","7"
"8881004443","8881004443","5/7/2021 11:36:26 AM","37.7801030168931","-122.39854566666","43 (NE)","30","192 Stillman St San Francisco CA","Position","0"
"8881004443","8881004443","5/7/2021 11:36:36 AM","37.7810063332319","-122.397596116612","41 (NE)","34","I-80 San Francisco CA","Position","16"
"8881004443","8881004443","5/7/2021 11:36:46 AM","37.7819311668475","-122.39649391671","43 (NE)","28","3rd St San Francisco CA","Position","20"
"8881004443","8881004443","5/7/2021 11:36:55 AM","37.7827364504337","-122.39557343324","45 (NE)","34","50 Stillman St San Francisco CA","Position","36"
"8881004443","8881004443","5/7/2021 11:37:05 AM","37.7837580833274","-122.394304516912","45 (NE)","34","I-80 San Francisco CA","Position","33"
"8881004443","8881004443","5/7/2021 11:37:15 AM","37.7847647500535","-122.392805016538","51 (NE)","41","I-80 San Francisco CA","Position","30"
"8881004443","8881004443","5/7/2021 11:37:25 AM","37.7859136499465","-122.390703050296","54 (NE)","50","I-80 San Francisco CA","Position","33"
"8881004443","8881004443","5/7/2021 11:37:35 AM","37.7880062664549","-122.388859749834","40 (NE)","60","I-80 San Francisco CA","Position","69"
"8881004443","8881004443","5/7/2021 11:37:45 AM","37.7898855502407","-122.386827383439","44 (NE)","64","[bay bridge SF ]","Position","72"
"8881004443","8881004443","5/7/2021 11:37:45 AM","37.7898855502407","-122.386827383439","44 (NE)","64","[bay bridge SF ]","8881004443 entered, ""bay bridge SF "" @ May  7 2021 11:37AM","72"
"8881004443","8881004443","5/7/2021 11:38:05 AM","37.7943094333013","-122.382468100016","40 (NE)","68","[bay bridge SF ]","Position","92"
"8881004443","8881004443","5/7/2021 11:38:15 AM","37.7961080004772","-122.380307999998","47 (NE)","57","[bay bridge SF ]","Position","154"
"8881004443","8881004443","5/7/2021 11:38:25 AM","37.7979191998641","-122.378137683372","41 (NE)","62","[bay bridge SF ]","Position","154"
"8881004443","8881004443","5/7/2021 11:38:36 AM","37.8003087333404","-122.375909383098","37 (NE)","66","[bay bridge SF ]","Position","144"
